# t y1 y2 
  0.0000000000000000E+00   1.0000000000000000E+00   1.0000000000000000E+00
  1.0000000000000000E-03   4.6337171466019000E-01   1.0000004937381823E+00
  2.0000000000000000E-03   2.1474329211973653E-01   9.9995779588434630E-01
  3.0000000000000001E-03   9.9549785797157037E-02   9.9989509011257172E-01
  4.0000000000000001E-03   4.6178798042610325E-02   9.9982311778744937E-01
  5.0000000000000001E-03   2.1451166245208580E-02   9.9974685555373144E-01
  6.0000000000000001E-03   9.9944567518108849E-03   9.9966860916979616E-01
  7.0000000000000001E-03   4.6863765958288991E-03   9.9958944692989093E-01
  8.0000000000000002E-03   2.2270541878934989E-03   9.9950986379145412E-01
  9.0000000000000011E-03   1.0876065467032578E-03   9.9943008907586339E-01
  1.0000000000000002E-02   5.5967787363306375E-04   9.9935022903108572E-01
  1.1000000000000003E-02   3.1507566301009062E-04   9.9927033288321809E-01
  1.2000000000000004E-02   2.0174310863748036E-04   9.9919042343922071E-01
  1.3000000000000005E-02   1.4922987384523303E-04   9.9911051126564654E-01
  1.4000000000000005E-02   1.2489519698649350E-04   9.9903060125787235E-01
  1.5000000000000006E-02   1.1361609459680030E-04   9.9895069568373018E-01
  1.6000000000000007E-02   1.0838584819726010E-04   9.9887079559366831E-01
  1.7000000000000008E-02   1.0595813286247135E-04   9.9879090147410143E-01
  1.8000000000000009E-02   1.0482887520307256E-04   9.9871101355011915E-01
  1.9000000000000010E-02   1.0430121423143101E-04   9.9863113192573472E-01
  2.0000000000000011E-02   1.0405228267457903E-04   9.9855125664886524E-01
  2.1000000000000012E-02   1.0393249127262247E-04   9.9847138774143662E-01
  2.2000000000000013E-02   1.0387253303347434E-04   9.9839152521333352E-01
  2.3000000000000013E-02   1.0384029677661325E-04   9.9831166906886182E-01
  2.4000000000000014E-02   1.0382090481809915E-04   9.9823181930974159E-01
  2.5000000000000015E-02   1.0380746423020491E-04   9.9815197593649618E-01
  2.6000000000000016E-02   1.0379678149242154E-04   9.9807213894909375E-01
  2.7000000000000017E-02   1.0378737668992524E-04   9.9799230834724528E-01
  2.8000000000000018E-02   1.0377856438155411E-04   9.9791248413054290E-01
  2.9000000000000019E-02   1.0377002695911688E-04   9.9783266629852363E-01
  3.0000000000000020E-02   1.0376161732670577E-04   9.9775285485069853E-01
  3.1000000000000021E-02   1.0375326714201373E-04   9.9767304978656746E-01
  3.2000000000000021E-02   1.0374494489122536E-04   9.9759325110562458E-01
  3.3000000000000022E-02   1.0373663594343646E-04   9.9751345880736142E-01
  3.4000000000000023E-02   1.0372833354977585E-04   9.9743367289126850E-01
  3.5000000000000024E-02   1.0372003453680773E-04   9.9735389335683600E-01
  3.6000000000000025E-02   1.0371173740385399E-04   9.9727412020355333E-01
  3.7000000000000026E-02   1.0370344152312720E-04   9.9719435343091034E-01
  3.8000000000000027E-02   1.0369514664630116E-04   9.9711459303839700E-01
  3.9000000000000028E-02   1.0368685267042622E-04   9.9703483902550272E-01
  4.0000000000000029E-02   1.0367855926292303E-04   9.9695509139171734E-01
  4.1000000000000029E-02   1.0367026637828683E-04   9.9687535013653061E-01
  4.2000000000000030E-02   1.0366197420089592E-04   9.9679561525943239E-01
  4.3000000000000031E-02   1.0365368281946356E-04   9.9671588675991241E-01
  4.4000000000000032E-02   1.0364539217785615E-04   9.9663616463746063E-01
  4.5000000000000033E-02   1.0363710221807801E-04   9.9655644889156714E-01
  4.6000000000000034E-02   1.0362881279593152E-04   9.9647673952172167E-01
  4.7000000000000035E-02   1.0362052395366012E-04   9.9639703652741440E-01
  4.8000000000000036E-02   1.0361223582659620E-04   9.9631733990813531E-01
  4.9000000000000037E-02   1.0360394843898558E-04   9.9623764966337447E-01
  5.0000000000000037E-02   1.0359566172990789E-04   9.9615796579262195E-01
  5.1000000000000038E-02   1.0358737565384276E-04   9.9607828829536826E-01
  5.2000000000000039E-02   1.0357909021680307E-04   9.9599861717110327E-01
  5.3000000000000040E-02   1.0357080544541601E-04   9.9591895241931727E-01
  5.4000000000000041E-02   1.0356252132265568E-04   9.9583929403950067E-01
  5.5000000000000042E-02   1.0355423789063742E-04   9.9575964203114375E-01
  5.6000000000000043E-02   1.0354595511345766E-04   9.9567999639373694E-01
  5.7000000000000044E-02   1.0353767302588898E-04   9.9560035712677053E-01
  5.8000000000000045E-02   1.0352939159883748E-04   9.9552072422973514E-01
  5.9000000000000045E-02   1.0352111083911023E-04   9.9544109770212108E-01
  6.0000000000000046E-02   1.0351283073665726E-04   9.9536147754341919E-01
  6.1000000000000047E-02   1.0350455129354089E-04   9.9528186375312000E-01
  6.2000000000000048E-02   1.0349627251183744E-04   9.9520225633071402E-01
  6.3000000000000042E-02   1.0348799438361067E-04   9.9512265527569199E-01
  6.4000000000000043E-02   1.0347971691612324E-04   9.9504306058754455E-01
  6.5000000000000044E-02   1.0347144011059151E-04   9.9496347226576265E-01
  6.6000000000000045E-02   1.0346316396394704E-04   9.9488389030983682E-01
  6.7000000000000046E-02   1.0345488847937575E-04   9.9480431471925801E-01
  6.8000000000000047E-02   1.0344661365747001E-04   9.9472474549351708E-01
  6.9000000000000047E-02   1.0343833949899723E-04   9.9464518263210477E-01
  7.0000000000000048E-02   1.0343006599952551E-04   9.9456562613451227E-01
  7.1000000000000049E-02   1.0342179316200783E-04   9.9448607600023042E-01
  7.2000000000000050E-02   1.0341352098727485E-04   9.9440653222874997E-01
  7.3000000000000051E-02   1.0340524947604245E-04   9.9432699481956188E-01
  7.4000000000000052E-02   1.0339697862902653E-04   9.9424746377215700E-01
  7.5000000000000053E-02   1.0338870844554726E-04   9.9416793908602674E-01
  7.6000000000000054E-02   1.0338043891935029E-04   9.9408842076066506E-01
  7.7000000000000055E-02   1.0337217005510089E-04   9.9400890879556092E-01
  7.8000000000000055E-02   1.0336390185288143E-04   9.9392940319020573E-01
  7.9000000000000056E-02   1.0335563431277433E-04   9.9384990394409045E-01
  8.0000000000000057E-02   1.0334736743486199E-04   9.9377041105670627E-01
  8.1000000000000058E-02   1.0333910121825785E-04   9.9369092452754526E-01
  8.2000000000000059E-02   1.0333083566171822E-04   9.9361144435609960E-01
  8.3000000000000060E-02   1.0332257076622676E-04   9.9353197054185982E-01
  8.4000000000000061E-02   1.0331430653167196E-04   9.9345250308431710E-01
  8.5000000000000062E-02   1.0330604295794231E-04   9.9337304198296272E-01
  8.6000000000000063E-02   1.0329778004492634E-04   9.9329358723728822E-01
  8.7000000000000063E-02   1.0328951779282894E-04   9.9321413884678655E-01
  8.8000000000000064E-02   1.0328125620162247E-04   9.9313469681094957E-01
  8.9000000000000065E-02   1.0327299527108511E-04   9.9305526112926790E-01
  9.0000000000000066E-02   1.0326473500114449E-04   9.9297583180123317E-01
  9.1000000000000067E-02   1.0325647539172829E-04   9.9289640882633701E-01
  9.2000000000000068E-02   1.0324821644276415E-04   9.9281699220407071E-01
  9.3000000000000069E-02   1.0323995815467456E-04   9.9273758193393169E-01
  9.4000000000000070E-02   1.0323170052718662E-04   9.9265817801540890E-01
  9.5000000000000070E-02   1.0322344356016346E-04   9.9257878044799341E-01
  9.6000000000000071E-02   1.0321518725354747E-04   9.9249938923117675E-01
  9.7000000000000072E-02   1.0320693160728101E-04   9.9242000436445077E-01
  9.8000000000000073E-02   1.0319867662130645E-04   9.9234062584730720E-01
  9.9000000000000074E-02   1.0319042229556617E-04   9.9226125367923756E-01
  1.0000000000000007E-01   1.0318216863000253E-04   9.9218188785973371E-01
  1.0100000000000008E-01   1.0317391562455790E-04   9.9210252838828739E-01
  1.0200000000000008E-01   1.0316566327923426E-04   9.9202317526439376E-01
  1.0300000000000008E-01   1.0315741159408194E-04   9.9194382848755114E-01
  1.0400000000000008E-01   1.0314916056893990E-04   9.9186448805724492E-01
  1.0500000000000008E-01   1.0314091020375643E-04   9.9178515397296729E-01
  1.0600000000000008E-01   1.0313266049847986E-04   9.9170582623421022E-01
  1.0700000000000008E-01   1.0312441145305843E-04   9.9162650484046577E-01
  1.0800000000000008E-01   1.0311616306744047E-04   9.9154718979122614E-01
  1.0900000000000008E-01   1.0310791534157425E-04   9.9146788108598316E-01
  1.1000000000000008E-01   1.0309966827540808E-04   9.9138857872422914E-01
  1.1100000000000008E-01   1.0309142186889024E-04   9.9130928270545593E-01
  1.1200000000000009E-01   1.0308317612194980E-04   9.9122999302916670E-01
  1.1300000000000009E-01   1.0307493103454281E-04   9.9115070969484909E-01
  1.1400000000000009E-01   1.0306668660662102E-04   9.9107143270199316E-01
  1.1500000000000009E-01   1.0305844283813204E-04   9.9099216205009144E-01
  1.1600000000000009E-01   1.0305019972902342E-04   9.9091289773863622E-01
  1.1700000000000009E-01   1.0304195727924278E-04   9.9083363976712013E-01
  1.1800000000000009E-01   1.0303371548873769E-04   9.9075438813503558E-01
  1.1900000000000009E-01   1.0302547435745574E-04   9.9067514284187497E-01
  1.2000000000000009E-01   1.0301723388534450E-04   9.9059590388713092E-01
  1.2100000000000009E-01   1.0300899407234670E-04   9.9051667127029930E-01
  1.2200000000000009E-01   1.0300075491839841E-04   9.9043744499088093E-01
  1.2300000000000010E-01   1.0299251642345754E-04   9.9035822504836080E-01
  1.2400000000000010E-01   1.0298427858747113E-04   9.9027901144223174E-01
  1.2500000000000008E-01   1.0297604141038619E-04   9.9019980417198672E-01
  1.2600000000000008E-01   1.0296780489214976E-04   9.9012060323711848E-01
  1.2700000000000009E-01   1.0295956903270885E-04   9.9004140863711998E-01
  1.2800000000000009E-01   1.0295133383201049E-04   9.8996222037148407E-01
  1.2900000000000009E-01   1.0294309929000172E-04   9.8988303843970371E-01
  1.3000000000000009E-01   1.0293486540662955E-04   9.8980386284127164E-01
  1.3100000000000009E-01   1.0292663218184693E-04   9.8972469357569504E-01
  1.3200000000000009E-01   1.0291839961559895E-04   9.8964553064246208E-01
  1.3300000000000009E-01   1.0291016770783119E-04   9.8956637404106229E-01
  1.3400000000000009E-01   1.0290193645849091E-04   9.8948722377098897E-01
  1.3500000000000009E-01   1.0289370586752532E-04   9.8940807983173551E-01
  1.3600000000000009E-01   1.0288547593488169E-04   9.8932894222279533E-01
  1.3700000000000009E-01   1.0287724666050723E-04   9.8924981094366182E-01
  1.3800000000000009E-01   1.0286901804434917E-04   9.8917068599382829E-01
  1.3900000000000010E-01   1.0286079008635475E-04   9.8909156737278814E-01
  1.4000000000000010E-01   1.0285256278647119E-04   9.8901245508003466E-01
  1.4100000000000010E-01   1.0284433614464572E-04   9.8893334911506126E-01
  1.4200000000000010E-01   1.0283611016082556E-04   9.8885424947736134E-01
  1.4300000000000010E-01   1.0282788483495795E-04   9.8877515616642819E-01
  1.4400000000000010E-01   1.0281966016699008E-04   9.8869606918175512E-01
  1.4500000000000010E-01   1.0281143615686918E-04   9.8861698852283553E-01
  1.4600000000000010E-01   1.0280321280454247E-04   9.8853791418916270E-01
  1.4700000000000010E-01   1.0279499010995718E-04   9.8845884618023006E-01
  1.4800000000000010E-01   1.0278676807306546E-04   9.8837978449554764E-01
  1.4900000000000010E-01   1.0277854669381599E-04   9.8830072913461386E-01
  1.5000000000000011E-01   1.0277032597215187E-04   9.8822168009690792E-01
  1.5100000000000011E-01   1.0276210590802050E-04   9.8814263738192398E-01
  1.5200000000000011E-01   1.0275388650136933E-04   9.8806360098915602E-01
  1.5300000000000011E-01   1.0274566775214575E-04   9.8798457091809799E-01
  1.5400000000000011E-01   1.0273744966029720E-04   9.8790554716824408E-01
  1.5500000000000011E-01   1.0272923222577111E-04   9.8782652973908835E-01
  1.5600000000000011E-01   1.0272101544851493E-04   9.8774751863012489E-01
  1.5700000000000011E-01   1.0271279932847608E-04   9.8766851384084775E-01
  1.5800000000000011E-01   1.0270458386560201E-04   9.8758951537075113E-01
  1.5900000000000011E-01   1.0269636905984018E-04   9.8751052321932919E-01
  1.6000000000000011E-01   1.0268815491113804E-04   9.8743153738607614E-01
  1.6100000000000012E-01   1.0267994141944305E-04   9.8735255787048604E-01
  1.6200000000000012E-01   1.0267172858470268E-04   9.8727358467205317E-01
  1.6300000000000012E-01   1.0266351640686440E-04   9.8719461779027173E-01
  1.6400000000000012E-01   1.0265530488587567E-04   9.8711565722463601E-01
  1.6500000000000012E-01   1.0264709402168374E-04   9.8703670297464685E-01
  1.6600000000000012E-01   1.0263888381423557E-04   9.8695775503981353E-01
  1.6700000000000012E-01   1.0263067426347920E-04   9.8687881341961459E-01
  1.6800000000000012E-01   1.0262246536936211E-04   9.8679987811354475E-01
  1.6900000000000012E-01   1.0261425713183178E-04   9.8672094912109898E-01
  1.7000000000000012E-01   1.0260604955083568E-04   9.8664202644177212E-01
  1.7100000000000012E-01   1.0259784262632132E-04   9.8656311007505904E-01
  1.7200000000000013E-01   1.0258963635823618E-04   9.8648420002045478E-01
  1.7300000000000013E-01   1.0258143074652775E-04   9.8640529627745444E-01
